myear,oem,model,gear_box,seats,steering_type,no_of_cylinder,super_charger,top_speed,max_power_delivered,max_torque_delivered,feature_score,selling_price
2012,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,255000.0
2011,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,155128.0
2019,maruti,maruti eeco,5 speed,5,manual,4,0,145,61.7,85.0,14,475000.0
2016,maruti,maruti celerio,5 speed,5,power,3,0,150,58.2,78.0,24,465000.0
2011,maruti,maruti alto,5 speed,5,power,3,0,137,38.4,62.0,11,110000.0
2018,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,439276.0
2014,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,319430.0
2014,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,350000.0
2021,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,530000.0
2012,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,150000.0
2019,maruti,maruti wagon r,5 speed,5,power,3,0,152,67.04,90.0,20,500000.0
2016,maruti,maruti celerio,5 speed,5,power,3,0,150,58.2,78.0,24,436111.0
2018,maruti,maruti celerio,5 speed,5,power,3,0,150,58.33,78.0,24,510448.0
2016,maruti,maruti celerio,5 speed,5,power,3,0,150,58.2,78.0,24,419000.0
2011,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,120000.0
2015,maruti,maruti alto 800,5 speed,5,power,3,0,140,47.3,69.0,17,250000.0
2012,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,270909.0
2010,maruti,maruti zen estilo,5 speed,5,power,3,0,145,67.1,90.0,17,158101.0
2012,maruti,maruti eeco,5 speed,5,power,4,0,165,73.0,101.0,8,192761.0
2019,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,450000.0
2015,maruti,maruti ertiga,5 speed,7,power,4,0,164,80.9,110.0,24,695000.0
2014,tata,tata nano,4 speed,4,manual,2,0,105,37.48,51.0,15,145539.0
2021,maruti,maruti ertiga,5 speed,7,power,4,0,165,91.19,122.0,23,820000.0
2012,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,300000.0
2021,hyundai,hyundai aura,5 speed,5,power,4,0,165,68.05,95.2,21,750000.0
2013,maruti,maruti alto 800,5 speed,5,power,3,0,140,47.3,69.0,17,150000.0
2012,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,270909.0
2016,maruti,maruti ertiga,5 speed,7,power,4,0,164,80.46,112.0,22,590000.0
2015,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,320000.0
2019,hyundai,hyundai santro,5 speed,5,power,4,0,165,58.0,84.33,22,520000.0
2013,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,299001.0
2012,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,192872.0
2022,maruti,maruti wagon r,5 speed,5,power,3,1,165,55.92,82.1,22,650000.0
2018,hyundai,hyundai santro,5 speed,5,power,4,0,165,58.0,84.33,23,450000.0
2019,hyundai,hyundai santro,5 speed,5,power,4,0,165,58.0,84.33,22,450000.0
2016,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,315000.0
2015,maruti,maruti ertiga,5 speed,7,power,4,0,164,80.9,110.0,24,607089.0
2015,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,239471.0
2014,maruti,maruti alto 800,5 speed,5,power,3,0,140,47.3,69.0,17,271769.0
2020,maruti,maruti ertiga,5 speed,7,power,4,0,165,91.19,122.0,23,898457.0
2019,maruti,maruti celerio tour 2018-2021,5 speed,5,power,3,1,165,88.5,200.0,0,450000.0
2015,maruti,maruti celerio,5 speed,5,power,3,0,150,58.2,78.0,24,285000.0
2020,maruti,maruti celerio,5 speed,5,power,3,0,150,58.33,78.0,24,560000.0
2014,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,280000.0
2022,hyundai,hyundai grand i10 nios,5 speed,5,power,4,0,165,68.05,95.2,21,791000.0
2017,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,350000.0
2017,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,340000.0
2016,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,280000.0
2014,maruti,maruti wagon r,5 speed,5,power,3,0,152,67.04,90.0,20,325000.0
2018,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,380000.0
2021,hyundai,hyundai aura,5 speed,5,power,4,0,165,68.05,95.2,21,715000.0
2016,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,300000.0
2017,maruti,maruti ertiga,5 speed,7,power,4,0,164,80.46,112.0,22,650000.0
2010,toyota,toyota corolla altis,6 speed,5,power,4,0,205,138.0,173.0,18,230375.0
2022,maruti,maruti ertiga tour,5 speed,7,power,4,1,165,91.18,122.0,19,1028000.0
2014,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,360000.0
2020,hyundai,hyundai grand i10 nios,5 speed,5,power,4,0,165,68.05,95.2,21,645000.0
2009,hyundai,hyundai santro xing,5 speed,5,power,4,1,165,88.5,200.0,0,90000.0
2017,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,330000.0
2021,maruti,maruti eeco,5 speed,5,manual,4,1,165,61.68,85.0,13,500000.0
2014,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,235000.0
2012,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,200000.0
2011,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,150000.0
2022,tata,tata tiago,5 speed,5,power,3,1,165,72.0,95.0,19,700000.0
2019,maruti,maruti eeco,5 speed,5,manual,4,0,145,61.7,85.0,14,400000.0
2018,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,375000.0
2021,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,600000.0
2022,tata,tata tigor,5 speed,5,power,3,1,121,72.4,95.0,20,832498.0
2022,hyundai,hyundai aura,5 speed,5,power,4,0,165,68.05,95.2,21,900000.0
2014,maruti,maruti alto k10,5 speed,4,power,3,0,145,58.3,78.0,16,240000.0
2014,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,375000.0
2015,maruti,maruti wagon r,5 speed,5,power,3,0,152,67.04,90.0,20,369000.0
2012,maruti,maruti zen estilo,5 speed,5,power,3,0,145,67.1,90.0,17,175000.0
2018,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,320000.0
2020,maruti,maruti alto 800,5 speed,5,power,3,0,140,47.3,69.0,19,350000.0
2022,maruti,maruti xl6,5 speed,6,power,4,1,165,86.63,121.5,20,1200000.0
2020,maruti,maruti eeco,5 speed,5,manual,4,1,165,61.68,85.0,13,350000.0
2019,maruti,maruti alto 800,5 speed,5,power,3,0,140,40.3,60.0,19,325000.0
2020,hyundai,hyundai grand i10 nios,5 speed,5,power,4,0,165,68.05,95.2,21,630000.0
2019,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.33,78.0,20,585000.0
2022,maruti,maruti celerio,5 speed,5,power,3,1,165,55.92,82.1,21,670000.0
2014,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,345000.0
2015,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,399999.0
2015,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,350000.0
2018,hyundai,hyundai xcent prime,5 speed,5,power,4,1,165,65.39,97.96,14,400000.0
2010,maruti,maruti sx4,5 speed,5,power,4,0,165,103.3,145.0,22,200000.0
2022,maruti,maruti celerio,5 speed,5,power,3,1,165,55.92,82.1,21,550000.0
2021,maruti,maruti ertiga,5 speed,7,power,4,0,165,91.19,122.0,23,1075000.0
2017,maruti,maruti eeco,5 speed,5,manual,4,0,145,61.7,85.0,14,500000.0
2016,maruti,maruti celerio,5 speed,5,power,3,0,150,58.2,78.0,24,400000.0
2015,maruti,maruti celerio,5 speed,5,power,3,0,150,58.2,78.0,24,300700.0
2018,maruti,maruti wagon r,5 speed,5,power,3,0,152,67.04,90.0,20,475000.0
2016,maruti,maruti celerio,5 speed,5,power,3,0,150,58.2,78.0,24,350000.0
2019,bajaj,bajaj re60,5 speed,4,manual,1,0,70,10.8,16.1,10,200000.0
2022,hyundai,hyundai xcent prime,5 speed,5,power,4,1,165,65.39,97.96,14,700000.0
2018,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,410000.0
2016,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,300000.0
2016,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,300000.0
2013,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,250000.0
2016,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,285000.0
2013,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,200000.0
2014,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,300000.0
2022,maruti,maruti wagon r,5 speed,5,power,3,1,165,55.92,82.1,22,650000.0
2015,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,250000.0
2019,maruti,maruti wagon r,5 speed,5,power,3,0,152,67.04,90.0,20,480000.0
2017,maruti,maruti ertiga,5 speed,7,power,4,0,164,80.46,112.0,22,700000.0
2016,maruti,maruti alto k10,5 speed,4,power,3,0,145,58.3,78.0,16,220000.0
2022,tata,tata tigor,5 speed,5,power,3,1,121,72.4,95.0,19,711000.0
2013,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,161205.0
2021,hyundai,hyundai aura,5 speed,5,power,4,0,165,68.05,95.2,21,665034.0
2015,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,320000.0
2012,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,190000.0
2019,maruti,maruti celerio tour 2018-2021,5 speed,5,power,3,1,165,88.5,200.0,0,459999.0
2018,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,377000.0
2017,maruti,maruti ertiga,5 speed,7,power,4,0,164,80.46,112.0,22,750000.0
2011,maruti,maruti alto,5 speed,5,power,3,0,137,38.4,62.0,13,130000.0
2013,maruti,maruti eeco,5 speed,5,power,4,0,165,73.0,101.0,8,180000.0
2015,maruti,maruti ertiga,5 speed,7,power,4,0,164,80.46,112.0,22,650000.0
2013,maruti,maruti alto 800,5 speed,5,power,3,0,140,47.3,69.0,17,150000.0
2016,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,250000.0
2021,hyundai,hyundai aura,5 speed,5,power,4,0,165,68.05,95.2,21,725000.0
2012,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,150000.0
2021,maruti,maruti ertiga,5 speed,7,power,4,0,165,91.19,122.0,23,900000.0
2020,hyundai,hyundai santro,5 speed,5,power,4,0,165,59.18,85.32,23,500000.0
2012,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,175000.0
2017,maruti,maruti eeco,5 speed,5,manual,4,0,145,61.7,85.0,14,370000.0
2020,maruti,maruti ertiga,5 speed,7,power,4,0,165,91.19,122.0,23,1000000.0
2012,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,185000.0
2019,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,410000.0
2020,maruti,maruti celerio,5 speed,5,power,3,0,165,58.33,78.0,22,440000.0
2016,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,300000.0
2019,maruti,maruti celerio,5 speed,5,power,3,0,150,58.33,78.0,24,479196.0
2014,maruti,maruti alto k10,5 speed,4,power,3,0,145,58.3,78.0,16,250000.0
2013,maruti,maruti alto 800,5 speed,5,power,3,0,140,47.3,69.0,17,170000.0
2022,tata,tata tigor,5 speed,5,power,3,1,121,72.4,95.0,20,860000.0
2020,hyundai,hyundai grand i10 nios,5 speed,5,power,4,0,165,68.05,95.2,21,635000.0
2011,maruti,maruti wagon r,5 speed,5,power,3,0,165,58.2,77.0,17,200000.0
2019,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,450000.0
2017,maruti,maruti swift dzire,5 speed,5,power,4,0,169,85.8,114.0,0,500000.0
2014,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,255802.0
2022,maruti,maruti ertiga,5 speed,7,power,4,1,165,86.63,121.5,21,1100000.0
2022,bajaj,bajaj re60,5 speed,4,manual,1,0,70,10.8,16.1,10,280000.0
2016,maruti,maruti alto k10,5 speed,4,power,3,0,145,58.3,78.0,16,250000.0
2014,maruti,maruti ertiga,5 speed,7,power,4,0,164,80.9,110.0,24,650000.0
2015,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,425000.0
2014,maruti,maruti ertiga,5 speed,7,power,4,0,164,80.46,112.0,22,565000.0
2018,maruti,maruti celerio,5 speed,5,power,3,0,150,58.33,78.0,24,469000.0
2018,maruti,maruti eeco,5 speed,5,manual,4,0,145,61.7,85.0,14,400000.0
2009,hyundai,hyundai santro xing,5 speed,5,power,3,0,141,62.1,96.1,18,110000.0
2016,maruti,maruti eeco,5 speed,5,manual,4,0,145,63.0,83.0,13,412000.0
2012,maruti,maruti alto 800,5 speed,5,manual,3,0,140,47.3,69.0,12,165000.0
2016,maruti,maruti ertiga,5 speed,7,power,4,0,165,103.0,138.0,22,795000.0
2010,hyundai,hyundai accent,5 speed,5,power,4,0,165,93.7,124.5,20,120000.0
2010,toyota,toyota corolla altis,6 speed,5,power,4,0,205,138.0,173.0,18,245000.0
2021,maruti,maruti ertiga,5 speed,7,power,4,0,165,91.19,122.0,23,1160000.0
2017,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,455000.0
2019,hyundai,hyundai santro,5 speed,5,power,4,0,165,58.0,84.33,22,400000.0
2010,maruti,maruti alto,5 speed,5,power,3,0,137,38.4,62.0,13,150000.0
2021,maruti,maruti eeco,5 speed,5,manual,4,1,165,61.68,85.0,13,510000.0
2014,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,299000.0
2013,maruti,maruti wagon r,5 speed,5,power,3,0,137,58.16,77.0,22,215000.0
2021,hyundai,hyundai santro,5 speed,5,power,4,0,165,59.18,85.32,22,590000.0
2022,tata,tata tiago,5 speed,5,power,3,1,165,72.0,95.0,19,794900.0
2022,maruti,maruti ertiga,5 speed,7,power,4,1,165,86.63,121.5,21,1000000.0
2015,hyundai,hyundai santro xing,5 speed,5,power,4,1,165,88.5,200.0,0,294000.0
2015,maruti,maruti eeco,5 speed,5,manual,4,0,145,61.7,85.0,14,350000.0
2022,maruti,maruti ertiga,5 speed,7,power,4,1,165,86.63,121.5,21,1040000.0
